Entrez	Official Symbol	Synonyms	Experiment Symbol
890	CCNA2	CCN1|CCNA	CCNA2
281667	CCNA2	CCNA	CCNA2
12428	Ccna2	AA408589|Ccn-1|Ccn1|Ccna|CycA2|Cyca	CCNA2
57820	CCNB1IP1	C14orf18|HEI10	CCNB1
891	CCNB1	CCNB	CCNB1
898	CCNE1	CCNE	CCNE1
4173	MCM4	CDC21|CDC54|NKCD|NKGCD|P1-CDC21|hCdc21	CDC2
8697	CDC23	ANAPC8|APC8|CUT23	CDC2
993	CDC25A	CDC25A2	CDC2
991	CDC20	CDC20A|bA276H19.3|p55CDC	CDC2
994	CDC25B	-	CDC2
23097	CDK19	CDC2L6|CDK11|bA346C16.3	CDC2
983	CDK1	CDC2|CDC28A|P34CDC2	CDC2
5923	RASGRF1	CDC25|CDC25L|GNRP|GRF1|GRF55|H-GRF55|PP13187|ras-GRF1	CDC2
996	CDC27	ANAPC3|APC3|CDC27Hs|D0S1430E|D17S978E|H-NUC|HNUC|NUC2	CDC2
1025	CDK9	C-2k|CDC2L4|CTK1|PITALRE|TAK	CDC2
51343	FZR1	CDC20C|CDH1|FZR|FZR2|HCDH|HCDH1	CDC2
728642	CDK11A	CDC2L2|CDC2L3|CDK11-p110|CDK11-p46|CDK11-p58|PITSLRE|p58GTA	CDC2
54638	Ccdc22	AI481216|DXImx40e|Ppp1r3f|Sfc22	CDC2
10235	RASGRP2	CALDAG-GEFI|CDC25L	CDC2
5424	POLD1	CDC2|CRCS10|MDPL|POLD	CDC2
380246	cdk1-a	PSTAIR|cdc-2|cdc2|cdc2-a|cdc28a|cdc2x1.1|p34cdc2|xcdc2	CDC2
995	CDC25C	CDC25|PPP1R60	CDC2
984	CDK11B	CDC2L1|CDK11|CDK11-p110|CDK11-p46|CDK11-p58|CLK-1|PITSLREA|PK58|p58|p58CDC2L1|p58CLK-1	CDC2
374969	CCDC23	-	CDC2
12534	Cdk1	Cdc2|Cdc2a|p34[CDC2]	CDC2
107995	Cdc20	2310042N09Rik|C87100|p55CDC	CDC2
52563	Cdc23	6030435O18|D18Ertd243e	CDC2
217232	Cdc27	AI452358|APC3|BC023187	CDC2
12531	Cdc25b	AI604853	CDC2
734734	cdc25a	cdc25a2	CDC2
19417	Rasgrf1	AI844718|CDC25|CDC25Mm|Gnrp|Grf1|Grfbeta|P190-A|Ras-GRF1|p190|p190RhoGEF	CDC2
51473	DCDC2	DCDC2A|RU2|RU2S	CDC2
79140	CCDC28B	-	CDC2
8621	CDK13	CDC2L|CDC2L5|CHED|hCDK13	CDC2
246184	CDC26	ANAPC12|APC12|C9orf17	CDC2
28952	CCDC22	CXorf37	CDC2
2539869	cdc2	cdk1|swo2|tws1|pi002|SPACTOKYO_453.34|wee2	CDC2
852457	CDC28	CDK1|HSL5|SRM5|cyclin-dependent serine/threonine-protein kinase CDC28|L000000267	CDC2
379130	cdc20	-	CDC2
25901	CCDC28A	C6orf80|CCRL1AP	CDC2
55246	CCDC25	-	CDC2
137196	CCDC26	RAM	CDC2
166979	CDC20B	-	CDC2
398044	cdc20	X-FZY	CDC2
64793	CEP85	CCDC21	CDC2
17217	Mcm4	19G|AI325074|AU045576|Cdc21|Mcmd4|mKIAA4003|mcdc21	CDC2
149473	CCDC24	-	CDC2
80173	IFT74	CCDC2|CMG-1|CMG1	CDC2
854241	CDC21	CRT9|TMP1|thymidylate synthase|YOR29-25|L000000260	CDC2
149069	DCDC2B	-	CDC2
148870	CCDC27	-	CDC2
990	CDC6	CDC18L|HsCDC18|HsCDC6	CDC6
11198	SUPT16H	CDC68|FACTP140|SPT16/CDC68	CDC6
8030	CCDC6	D10S170|H4|PTC|TPC|TST1	CDC6
23834	Cdc6	CDC18L	CDC6
160777	CCDC60	-	CDC6
80323	CCDC68	SE57-1	CDC6
75665	Ccdc64	2210403N09Rik|BICDR-1	CDC6
212733	Ccdc64b	BICDR-2	CDC6
146439	CCDC64B	BICDR-2	CDC6
159989	CCDC67	-	CDC6
854504	MYO2	CDC66|myosin 2|L000001223	CDC6
26112	CCDC69	-	CDC6
854513	ALA1	CDC64|alanine--tRNA ligase|L000000286|L000002757	CDC6
855943	CDC60	leucine--tRNA ligase CDC60|LeuRS|L000000283	CDC6
854543	PRT1	CDC63|DNA26|L000001515	CDC6
1033	CDKN3	CDI1|CIP2|KAP|KAP1	CDKN3
1869	E2F1	E2F-1|RBAP1|RBBP3|RBP3	E2F1
13555	E2f1	E2F-1|mKIAA4009	E2F1
5111	PCNA	ATLD2	PCNA
398425	MGC53867	PCNA	PCNA
18538	Pcna	-	PCNA
817506	PCNA2	A. THALIANA PROLIFERATING CELL NUCLEAR ANTIGEN 2|ATPCNA2|F16P2.5|F16P2_5|proliferating cell nuclear antigen 2	PCNA
837249	PCNA1	ATPCNA1|F22G5.29|F22G5_29|PROLIFERATING CELLULAR NUCLEAR ANTIGEN|PROLIFERATING CELLULAR NUCLEAR ANTIGEN 1	PCNA
5984	RFC4	A1|RFC37	RFC4
5982	RFC2	RFC40	RFC4
4205	MEF2A	ADCAD1|RSRFC4|RSRFC9|mef2	RFC4
